"","ID","Date","Price","Location"
"110","559344","10/9/2008","100000","Quarter: SW/4 Section: 26 Township: 37 Range: 15"
"111","559392","10/6/2008","247900","0 Subdivision: FLYING ROGUE RANCH Lot: 13A"
"112","559607","10/22/2008","313000","Quarter: NE/4 Section: 26 Township: 36 Range: 16 Subdiv..."
"113","559896","11/3/2008","25000","0 Subdivision: SAN JUAN PARK Block: 10 Lot: 6"
"114","559970","11/7/2008","145000","Quarter: NW/4 Section: 22 Township: 36 Range: 16"
"115","560010","11/12/2008","329000","Quarter: NE/4 Section: 24 Township: 36 Range: 16 Subdiv..."
"116","560027","11/14/2008","254900","Quarter: NW/4 Section: 24 Township: 37 Range: 17 Subdiv..."
"117","560213","11/25/2008","75000","Section: 6 Township: 36 Range: 16"
"118","560290","11/26/2008","280000","Section: 9 Township: 36 Range: 16 Subdivision: TULAROSA..."
"119","560338","12/1/2008","375000","Section: 2 Township: 36 Range: 16 Subdivision: MILDRED ..."
"120","560387","12/3/2008","157200","Quarter: NW/4 Section: 35 Township: 36 Range: 16 Subdiv..."
"121","560432","12/5/2008","150000","Section: 8 Township: 37 Range: 16 Subdivision: CAROL EV..."
"122","560464","11/4/2008","90000","Sixteenth: NE/4 Quarter: NE/4 Section: 16 Township: 37 R..."
"123","560517","12/12/2008","65700","Section: 2 Township: 36 Range: 16 Subdivision: LEBANON ..."
"124","560579","12/16/2008","129000","Quarter: NE/4 Section: 34 Township: 36 Range: 16 TR 100..."
"125","560600","12/18/2008","70000","Quarter: NW/4 Section: 25 Township: 37 Range: 15"
"126","560602","12/19/2008","210000","Quarter: NE/4 Section: 28 Township: 36 Range: 13"
"127","560627","12/19/2008","335000","Section: 6 Township: 36 Range: 15"
"128","560779","12/30/2008","264000","Quarter: SE/4 Section: 30 Township: 36 Range: 16 Subdiv..."
"129","560830","12/18/2008","40800","Section: 1 Township: 36 Range: 15"
"130","560909","12/4/2008","210000","Quarter: NE/4 Section: 17 Township: 36 Range: 16"
"131","561024","1/14/2009","192000","Quarter: SE/4 Section: 34 Township: 36 Range: 16"
"132","561061","1/15/2009","277500","Section: 1 Township: 36 Range: 16 Subdivision: SCHWARZK..."
"133","561141","1/16/2009","140000","Quarter: NE/4 Section: 28 Township: 36 Range: 13"
"134","561191","1/22/2009","200000","Section: 19 Township: 37 Range: 15"
"135","561322","2/2/2009","375000","Quarter: SW/4 Section: 24 Township: 36 Range: 14"
"136","561507","9/2/2008","56000","Section: 3 Township: 36 Range: 15"
"137","561537","2/9/2009","343500","Quarter: SE/4 Section: 33 Township: 36 Range: 17"
"138","561578","11/13/2008","300000","Quarter: SW/4 Section: 31 Township: 37 Range: 16 Subdiv..."
"139","561657","2/13/2009","80000","Section: 16 Township: 37 Range: 15"
"140","561709","2/17/2009","125200","Section: 5 Township: 35 Range: 16 Subdivision: VALLEY V..."
"141","561735","2/19/2009","258000","Quarter: NE/4 Section: 29 Township: 36 Range: 14 Subdiv..."
"142","561832","2/23/2009","142500","Quarter: NW/4 Section: 30 Township: 35 Range: 16 Subdiv..."
"143","561863","2/25/2009","50000","Quarter: NW/4 Section: 11 Township: 38 Range: 18"
"144","561959","3/2/2009","46000","Quarter: NW Section: 4 Township: 35 Range: 16 Subdivisi..."
"145","562104","3/6/2009","165000","Section: 29 Township: 38 Range: 16"
"146","562261","3/16/2009","100000","Quarter: NW/4 Section: 16 Township: 35 Range: 16"
"147","562273","3/16/2009","245000","Section: 24 Township: 36 Range: 16"
