ID,Date,Price,Location
558016,8/5/2008,"$120,000.00 ",Quarter: NW/4 Section: 30 Township: 35 Range: 16 Subdiv...
558040,8/6/2008,"$138,500.00 ",Quarter: NW/4 Section: 30 Township: 36 Range: 15 Subdiv...
558077,8/7/2008,"$150,000.00 ",Quarter: SE/4 Section: 36 Township: 38 Range: 17
558098,8/8/2008,"$112,000.00 ",Quarter: NE/4 Section: 15 Township: 35 Range: 16 Subdiv...
558137,8/11/2008,"$20,000.00 ",Sixteenth: NW Quarter: SW/4 Section: 10 Township: 35 Ran...
558168,8/12/2008,"$260,000.00 ",Quarter: NE/4 Section: 16 Township: 37 Range: 15 Subdiv...
558236,8/5/2008,"$15,000.00 ",Sixteenth: SE Quarter: NW Section: 4 Township: 35 Range:...
558384,8/22/2008,"$265,000.00 ",Quarter: NE/4 Section: 10 Township: 35 Range: 16 Subdiv...
558396,7/22/2008,"$197,500.00 ",Quarter: NE/4 Section: 34 Township: 36 Range: 16
558397,8/25/2008,"$197,500.00 ",Quarter: NE/4 Section: 34 Township: 36 Range: 16
558431,8/27/2008,"$75,000.00 ",Quarter: NW/4 Section: 26 Township: 36 Range: 13
558530,8/29/2008,"$184,000.00 ",Quarter: NE/4 Section: 13 Township: 37 Range: 15 Subdiv...
558533,8/29/2008,"$155,000.00 ",Section: 8 Township: 38 Range: 17
558570,9/3/2008,"$25,000.00 ",Quarter: NW/4 Section: 15 Township: 36 Range: 16
558599,9/5/2008,"$34,200.00 ",Quarter: NE/4 Section: 34 Township: 36 Range: 16
558612,9/5/2008,"$275,000.00 ",Section: 6 Township: 36 Range: 15
558614,9/8/2008,"$300,000.00 ",Section: 7 Township: 36 Range: 15
558678,9/10/2008,"$148,000.00 ",Quarter: NE/4 Section: 26 Township: 36 Range: 16
558796,9/16/2008,"$265,000.00 ",Quarter: NW/4 Section: 21 Township: 37 Range: 16
558886,9/19/2008,"$118,000.00 ",Quarter: NW/4 Section: 35 Township: 36 Range: 16 Subdiv...
559125,9/25/2008,"$186,800.00 ",Quarter: SE/4 Section: 10 Township: 37 Range: 15 Subdiv...
559136,9/29/2008,"$215,000.00 ",Quarter: NE/4 Section: 10 Township: 35 Range: 16 Subdiv...
559141,9/29/2008,"$152,300.00 ",Quarter: SE/4 Section: 15 Township: 38 Range: 14 Subdiv...
559154,9/29/2008,"$260,000.00 ",Quarter: NE/4 Section: 15 Township: 36 Range: 13
559344,10/9/2008,"$100,000.00 ",Quarter: SW/4 Section: 26 Township: 37 Range: 15
559392,10/6/2008,"$247,900.00 ",0 Subdivision: FLYING ROGUE RANCH Lot: 13A
559607,10/22/2008,"$313,000.00 ",Quarter: NE/4 Section: 26 Township: 36 Range: 16 Subdiv...
559896,11/3/2008,"$25,000.00 ",0 Subdivision: SAN JUAN PARK Block: 10 Lot: 6
559970,11/7/2008,"$145,000.00 ",Quarter: NW/4 Section: 22 Township: 36 Range: 16
560010,11/12/2008,"$329,000.00 ",Quarter: NE/4 Section: 24 Township: 36 Range: 16 Subdiv...
