"","SiteID","symbol","N","mean","sd","se"
"186","GUSG_CONTROL","ERLO4",12,0.333333333333333,0.531816023478309,0.153522062157279
"187","GUSG_CONTROL","ERNA10",12,0,0,0
"188","GUSG_CONTROL","ERPU9",12,0.0555555555555556,0.192450089729875,0.0555555555555556
"189","GUSG_CONTROL","GUSA2",12,1.16666666666667,1.10554159678513,0.319142369252113
"190","GUSG_CONTROL","HECO26",12,2.16666666666666,6.08442289951988,1.75642159945066
"191","GUSG_CONTROL","HL",12,49.3333333333333,13.624102231566,3.93293954543081
"192","GUSG_CONTROL","HYFI",12,0,0,0
"193","GUSG_CONTROL","IPPU4",12,0,0,0
"194","GUSG_CONTROL","IPRO",12,0,0,0
"195","GUSG_CONTROL","JUOS",12,0,0,0
"196","GUSG_CONTROL","KRLA2",12,1.22222222222222,2.2171659648806,0.640040683330945
"197","GUSG_CONTROL","LAOC3",12,0,0,0
"198","GUSG_CONTROL","LARE",12,0.5,0.904534033733292,0.261116483933547
"199","GUSG_CONTROL","LEMO2",12,0.222222222222223,0.769800358919502,0.222222222222223
"200","GUSG_CONTROL","LEMO3",12,0,0,0
"201","GUSG_CONTROL","LESA4",12,0,0,0
"202","GUSG_CONTROL","MAPI",12,0,0,0
"203","GUSG_CONTROL","MAVU",12,0,0,0
"204","GUSG_CONTROL","None",12,33.1666666666667,11.9633278029657,3.45351526372299
"205","GUSG_CONTROL","OECA10",12,0,0,0
"206","GUSG_CONTROL","OPPO",12,0.222222222222222,0.328243975944887,0.0947558739358269
"207","GUSG_CONTROL","ORFA",12,0,0,0
"208","GUSG_CONTROL","PAMU11",12,0.277777777777778,0.962250448649375,0.277777777777778
"209","GUSG_CONTROL","PASM",12,6.44444444444445,10.1874683697429,2.94086880281593
"210","GUSG_CONTROL","PEBR9",12,0.111111111111111,0.259499648053841,0.0749110958292492
"211","GUSG_CONTROL","PEPU7",12,0.388888888888889,1.34715062810913,0.388888888888889
"212","GUSG_CONTROL","PHAU3",12,0,0,0
"213","GUSG_CONTROL","PHHOC",12,0.111111111111111,0.38490017945975,0.111111111111111
"214","GUSG_CONTROL","PHLO2",12,0.166666666666667,0.301511344577764,0.087038827977849
"215","GUSG_CONTROL","PHRE9",12,0.166666666666667,0.301511344577764,0.087038827977849
"216","GUSG_CONTROL","PIDE4",12,0,0,0
"217","GUSG_CONTROL","PIED",12,0,0,0
"218","GUSG_CONTROL","PLJA",12,3.83333333333333,4.1499665326629,1.19799214738043
"219","GUSG_CONTROL","PLPA2",12,0,0,0
"220","GUSG_CONTROL","POFE",12,0,0,0
"221","GUSG_CONTROL","S",12,0,0,0
"222","GUSG_CONTROL","SATR12",12,0,0,0
"223","GUSG_CONTROL","SAUU3",12,0.222222222222222,0.434225964852619,0.125350238848392
"224","GUSG_CONTROL","SAVE4",12,1.5,4.98988876619407,1.44045681119422
"225","GUSG_CONTROL","SCLI",12,0.277777777777778,0.600224424919013,0.17326986665059
"226","GUSG_CONTROL","SPCO",12,2.11111111111111,1.92450089729875,0.555555555555555
"227","GUSG_CONTROL","SPCR",12,0,0,0
"228","GUSG_CONTROL","THAU3",12,0,0,0
"229","GUSG_CONTROL","TOAN",12,0,0,0
"230","GUSG_CONTROL","TRDU",12,0.0555555555555556,0.192450089729875,0.0555555555555556
"231","GUSG_CONTROL","UNKM",12,0,0,0
"232","GUSG_CONTROL","UNKSEEDLING",12,0,0,0
"233","GUSG_CONTROL","VUOC",12,0,0,0
"234","GUSG_CONTROL","WL",12,3.5,1.84500417453197,0.532606828411008
"235","GUSG_DENSE","ACHY",12,1.61111111111111,2.96045769507179,0.854610523587098
"236","GUSG_DENSE","ADLE",12,0.333333333333333,0.828775414010749,0.239246854188425
"237","GUSG_DENSE","AGCR",12,0,0,0
"238","GUSG_DENSE","ARFR4",12,0.888888888888889,2.48361634886513,0.71695828379052
"239","GUSG_DENSE","ARNO4",12,5.66666666666667,8.50193085615429,2.45429603421613
"240","GUSG_DENSE","ARPU9",12,0,0,0
"241","GUSG_DENSE","ARTR2",12,8.11111111111112,10.1457393489103,2.92882267211057
"242","GUSG_DENSE","ASAM5",12,0,0,0
"243","GUSG_DENSE","ASTRA",12,0,0,0
"244","GUSG_DENSE","ASTRA01",12,0,0,0
"245","GUSG_DENSE","ASTRA2",12,0,0,0
"246","GUSG_DENSE","ATCA2",12,0.222222222222222,0.434225964852619,0.125350238848392
"247","GUSG_DENSE","ATCO",12,0.0555555555555556,0.192450089729875,0.0555555555555556
"248","GUSG_DENSE","BOGR2",12,9.38888888888889,12.7333439103029,3.67579976714872
"249","GUSG_DENSE","BRTE",12,5.72222222222222,16.0867806532106,4.64385357026281
"250","GUSG_DENSE","BUNKF01",12,0,0,0
"251","GUSG_DENSE","CHDE2",12,0,0,0
"252","GUSG_DENSE","CHER2",12,0.833333333333333,1.30654915983698,0.377168254570679
"253","GUSG_DENSE","CHVI8",12,3.33333333333333,5.49011968370582,1.58486103863541
"254","GUSG_DENSE","COWRW",12,0.0555555555555556,0.192450089729875,0.0555555555555556
"255","GUSG_DENSE","CRMI",12,0,0,0
"256","GUSG_DENSE","DEPI",12,0.222222222222222,0.434225964852619,0.125350238848392
"257","GUSG_DENSE","DRCU",12,0.111111111111111,0.259499648053841,0.0749110958292492
"258","GUSG_DENSE","ELEL5",12,10.5,6.88799277325727,1.98839224090814
"259","GUSG_DENSE","ERCI6",12,0.333333333333333,0.963998407308294,0.278282369978907
"260","GUSG_DENSE","ERCO27",12,0,0,0
"261","GUSG_DENSE","ERIGE2",12,0,0,0
"262","GUSG_DENSE","ERIGERON SP.",12,0.111111111111111,0.259499648053841,0.0749110958292492
"263","GUSG_DENSE","ERLE10",12,0.166666666666667,0.577350269189626,0.166666666666667
"264","GUSG_DENSE","ERLO4",12,0.277777777777778,0.600224424919013,0.17326986665059
"265","GUSG_DENSE","ERNA10",12,0,0,0
