Transect ID,Location,Sage1 Difference,Sage2 Difference,Shrub Difference,PJ Difference,Sage1ToFromTotal,Sage1Cover%
137,SIX SHOOTER FY09,9.866683284,,3.366680145,,2.960004985,9.866683284
138,SIX SHOOTER FY09,10.13333639,,2.666670481,,3.040000916,10.13333639
139,SIX SHOOTER FY09,11.33333762,,,,3.400001287,11.33333762
140,SIX SHOOTER FY09,23.93335223,,,,7.18000567,23.93335223
141,SIX SHOOTER FY09,11.83332006,,0.466664632,,3.549996018,11.83332006
142,SIX SHOOTER FY09,5.333331426,4.566675822,1.433327993,,1.599999428,5.333331426
143,SIX SHOOTER FY09,0.633331935,,13.9666756,,0.18999958,0.633331935
144,SIX SHOOTER FY09,4.966662725,,19.33335185,,1.489998817,4.966662725
145,SIX SHOOTER FY09,1.366665363,4.000005722,6.100002229,,0.409999609,1.366665363
146,SIX SHOOTER FY09,2.133337657,0.666666826,5.000015895,,0.640001297,2.133337657
147,SIX SHOOTER FY09,23.83333067,,,,7.149999201,23.83333067
148,SIX SHOOTER FY09,8.266674876,,6.63333257,,2.480002463,8.266674876
149,SIX SHOOTER FY09,16.36666536,,,,4.909999609,16.36666536
150,SIX SHOOTER FY09,20.8333389,,,,6.250001669,20.8333389
151,SIX SHOOTER FY09,12.16668765,,,,3.650006294,12.16668765
153,DRY WILD FY10S,9.833332698,,1.333335241,,2.949999809,9.833332698
154,DRY WILD FY10S,,,0.666662852,,,
155,DRY WILD FY10S,17.83332864,,2.800000509,,5.349998593,17.83332864
156,DRY WILD FY10S,,,4.666666786,,,
157,DRY WILD FY10S,1.133335431,4.033338229,,,0.340000629,1.133335431
158,DRY WILD FY10S,3.156666358,,,,0.946999907,3.156666358
159,DRY WILD FY10S,0.510000388,,0.133333703,,0.153000116,0.510000388
160,DRY WILD FY10S,1.863332192,,,,0.558999658,1.863332192
161,DRY WILD FY10S,0.109999975,,0.416666369,0.026666323,0.032999992,0.109999975
162,DRY WILD FY10S,0.056666831,,,,0.017000049,0.056666831
163,DRY WILD FY10S,0.993333397,,0.029999999,,0.298000019,0.993333397
164,DRY WILD FY10S,,,0.529999708,,,
165,DRY WILD FY10S,0.173332294,,0.330000222,,0.051999688,0.173332294
166,DRY WILD FY10S,0.623334249,,0.956666172,,0.187000275,0.623334249
168,DRY WILD FY10S,0.016666651,,0.276665501,,0.004999995,0.016666651
169,DRY WILD FY10S,0.456666773,,0.216667131,,0.137000032,0.456666773
170,DRY WILD FY10S,0.073333184,,0.24666744,,0.021999955,0.073333184
171,DRY WILD FY10S,0.323333244,,0.040000081,0.173333486,0.096999973,0.323333244
172,DRY WILD FY10S,0.119999945,,0.043333371,,0.035999984,0.119999945
173,DRY WILD FY10S,1.91666762,,0.01000007,,0.575000286,1.91666762
174,DRY WILD FY10S,0.313332627,,0.190000087,,0.093999788,0.313332627
175,DRY WILD FY10S,0.049999952,,0.396665931,,0.014999986,0.049999952
176,DRY WILD FY10S,1.823333999,,-3.146666586,,0.5470002,1.823333999
177,DRY WILD FY10S,0.493332992,0.203332702,0.066666603,,0.147999898,0.493332992
178,DRY WILD FY10F,3.683333596,,0.399999271,,1.105000079,3.683333596
179,DRY WILD FY10F,0.063333511,,0.943334003,,0.019000053,0.063333511
180,DRY WILD FY10F,4.380001028,,1.066666345,,1.314000309,4.380001028
181,DRY WILD FY10F,1.253333638,,,,0.376000091,1.253333638
182,DRY WILD FY10F,2.043335189,,,,0.613000557,2.043335189
183,DRY WILD FY10F,1.416666682,,0.749999993,,0.425000004,1.416666682
184,DRY WILD FY10F,0.616665483,,0.399997632,,0.184999645,0.616665483
185,DRY WILD FY10F,1.510001272,,0.203333298,,0.453000382,1.510001272
186,DRY WILD FY10F,0.026667019,,0.706668347,0.939999819,0.008000106,0.026667019
187,DRY WILD FY10F,0.073332787,,0.566666648,,0.021999836,0.073332787
188,DRY WILD FY10F,0.136666298,,,,0.040999889,0.136666298
194,DRY WILD FY10F,1.366666158,,5.066661735,,0.409999847,1.366666158
195,DRY WILD FY10F,1.866667271,,4.399999777,,0.560000181,1.866667271
196,DRY WILD FY10F,0.799999237,,5.3333354,,0.239999771,0.799999237
197,DRY WILD FY10F,6.799991131,,13.33333949,2.166665395,2.039997339,6.799991131
199,DRY WILD FY10F,0.390000343,,4.253333708,,0.117000103,0.390000343
200,DRY WILD FY10F,0.023333232,,0.366667112,0.100000302,0.006999969,0.023333232
201,DRY WILD FY10F,1.949998438,,0.269999603,,0.584999532,1.949998438
202,DRY WILD FY10F,2.116666635,,,,0.63499999,2.116666635
203,DRY WILD FY10F,1.396666169,,0.110000372,,0.418999851,1.396666169
204,DRY WILD FY10F,0.343333085,,,,0.102999926,0.343333085
205,DRY WILD FY10F,1.476666828,,0.316666365,,0.443000048,1.476666828
206,DRY WILD FY10F,1.846667031,,0.136666695,,0.554000109,1.846667031
207,DRY WILD FY10F,1.019999981,,0.433333988,,0.305999994,1.019999981
208,DRY WILD FY10F,0.283333162,,0.339999795,,0.084999949,0.283333162
209,DRY WILD FY10F,0.150000254,,0.609998504,,0.045000076,0.150000254
211,DRY WILD 2 FY11S,3.866662979,,4.519993464,,1.159998894,3.866662979
212,DRY WILD 2 FY11S,30.83332817,,,,9.24999845,30.83332817
213,DRY WILD 2 FY11S,5.566665332,,,,1.669999599,5.566665332
214,DRY WILD 2 FY11S,1.666646997,,0.233332316,,0.499994099,1.666646997
215,DRY WILD 2 FY11S,5.166668495,,0.633328756,,1.550000548,5.166668495
216,DRY WILD 2 FY11S,8.500004907,,1.699999173,10.69999933,2.550001472,8.500004907
217,DRY WILD 2 FY11S,11.29999797,,,,3.38999939,11.29999797
218,DRY WILD 2 FY11S,4.60000356,,,0.766665141,1.380001068,4.60000356
219,DRY WILD 2 FY11S,5.900000731,,,,1.770000219,5.900000731
220,DRY WILD 2 FY11S,1.873333653,,0.046666463,,0.562000096,1.873333653
221,DRY WILD 2 FY11S,2.193332066,,,,0.65799962,2.193332066
222,DRY WILD 2 FY11S,0.643333594,,0.22999982,,0.193000078,0.643333594
223,DRY WILD 2 FY11S,4.043333381,,0.096666614,,1.213000014,4.043333381
224,DRY WILD 2 FY11S,1.123333474,,0.07000049,0.323332946,0.337000042,1.123333474
225,DRY WILD 2 FY11S,0.166666508,,0.05000035,,0.049999952,0.166666508
226,DRY WILD 2 FY11S,1.38999939,,,1.179999908,0.416999817,1.38999939
227,DRY WILD 2 FY11S,3.056666106,,,0.740000208,0.916999832,3.056666106
228,DRY WILD 2 FY11S,2.243333459,,,3.996667067,0.673000038,2.243333459
229,DRY WILD 2 FY11S,1.383332238,,0.113333066,,0.414999671,1.383332238
230,DRY WILD 2 FY11S,0.373333295,,0.059999625,1.223332882,0.111999989,0.373333295
231,DRY WILD 2 FY11S,1.036665837,,0.109999975,2.673333287,0.310999751,1.036665837
232,DRY WILD 2 FY11S,0.816667229,,0.006666581,0.279999574,0.245000169,0.816667229
233,DRY WILD 2 FY11S,0.886667073,,0.190000236,0.640000304,0.266000122,0.886667073
234,DRY WILD 2 FY11S,0.406666497,,0.206666638,,0.121999949,0.406666497
235,DRY WILD 2 FY11S,0.070000092,,0.473333796,,0.021000028,0.070000092
236,DRY WILD 2 FY11F,8.133335114,,1.000003815,9.133335749,2.440000534,8.133335114
237,DRY WILD 2 FY11F,5.599988302,,1.933333079,12.66666571,1.67999649,5.599988302
238,DRY WILD 2 FY11F,8.266677856,,,,2.480003357,8.266677856
239,DRY WILD 2 FY11F,2.73333629,,3.366656303,10.83333333,0.820000887,2.73333629
240,DRY WILD 2 FY11F,2.533327738,,1.599996885,0.166667302,0.759998322,2.533327738
241,DRY WILD 2 FY11F,7.833340963,,0.499998728,13.86666934,2.350002289,7.833340963
242,DRY WILD 2 FY11F,17.30000297,,2.200000286,,5.190000892,17.30000297
243,DRY WILD 2 FY11F,11.26666745,,0.066668193,10.36666711,3.380000234,11.26666745
244,DRY WILD 2 FY11F,5.133332809,,1.166666349,,1.539999843,5.133332809
245,DRY WILD 2 FY11F,2.233331601,,,,0.66999948,2.233331601
246,DRY WILD 2 FY11F,13.83333683,,0.433336894,,4.150001049,13.83333683
247,DRY WILD 2 FY11F,8.466665745,,,2.133334478,2.539999723,8.466665745
248,DRY WILD 2 FY11F,8.166650931,,,,2.449995279,8.166650931
249,DRY WILD 2 FY11F,5.066668193,,4.099993706,,1.520000458,5.066668193
250,DRY WILD 2 FY11F,3.466669718,,4.23333019,,1.040000916,3.466669718
251,DRY WILD 2 FY11F,4.500007629,,,,1.350002289,4.500007629
252,DRY WILD 2 FY11F,2.333323161,,5.633344849,4.399998983,0.699996948,2.333323161
253,DRY WILD 2 FY11F,2.600005468,5.366674264,,,0.78000164,2.600005468
254,DRY WILD 2 FY11F,1.9333299,,2.066666285,9.23333168,0.57999897,1.9333299
